State,Year,Quarter,District,RegisteredUsers
andhra-pradesh,2020,4,krishna district,27981050
andhra-pradesh,2021,1,east godavari district,26190701
andhra-pradesh,2021,1,srikakulam district,11160473
andhra-pradesh,2021,1,spsr nellore district,22541428
andhra-pradesh,2021,1,vizianagaram district,10514582
andhra-pradesh,2021,1,visakhapatnam district,48248923
andhra-pradesh,2021,1,prakasam district,15175395
andhra-pradesh,2021,1,anantapur district,20102957
andhra-pradesh,2021,1,ysr district,15374473
andhra-pradesh,2021,1,west godavari district,16015685
andhra-pradesh,2021,1,kurnool district,17918524
andhra-pradesh,2021,1,chittoor district,29342609
andhra-pradesh,2021,1,guntur district,27445045
andhra-pradesh,2021,1,krishna district,29717175
andhra-pradesh,2021,2,east godavari district,31717908
andhra-pradesh,2021,2,srikakulam district,13546232
andhra-pradesh,2021,2,spsr nellore district,30290406
andhra-pradesh,2021,2,vizianagaram district,12689494
andhra-pradesh,2021,2,visakhapatnam district,54390299
andhra-pradesh,2021,2,prakasam district,19944047
andhra-pradesh,2021,2,anantapur district,25123346
andhra-pradesh,2021,2,ysr district,18457361
andhra-pradesh,2021,2,west godavari district,20950964
andhra-pradesh,2021,2,kurnool district,21972396
andhra-pradesh,2021,2,chittoor district,34344902
andhra-pradesh,2021,2,guntur district,32968819
andhra-pradesh,2021,2,krishna district,36370960
andhra-pradesh,2021,3,east godavari district,39572714
andhra-pradesh,2021,3,srikakulam district,15639768
andhra-pradesh,2021,3,spsr nellore district,34411958
andhra-pradesh,2021,3,vizianagaram district,14510005
andhra-pradesh,2021,3,visakhapatnam district,69220981
andhra-pradesh,2021,3,prakasam district,24116580
andhra-pradesh,2021,3,anantapur district,30366444
andhra-pradesh,2021,3,ysr district,22439316
andhra-pradesh,2021,3,west godavari district,26245039
andhra-pradesh,2021,3,kurnool district,26377809
andhra-pradesh,2021,3,chittoor district,42628568
andhra-pradesh,2021,3,guntur district,41675093
andhra-pradesh,2021,3,krishna district,44828275
andhra-pradesh,2021,4,east godavari district,48992531
andhra-pradesh,2021,4,srikakulam district,18501857
andhra-pradesh,2021,4,spsr nellore district,41921081
andhra-pradesh,2021,4,vizianagaram district,17253059
andhra-pradesh,2021,4,visakhapatnam district,82711538
andhra-pradesh,2021,4,prakasam district,27858275
andhra-pradesh,2021,4,anantapur district,36129136
andhra-pradesh,2021,4,ysr district,26340348
andhra-pradesh,2021,4,west godavari district,33235175
andhra-pradesh,2021,4,kurnool district,31782248
andhra-pradesh,2021,4,chittoor district,51119640
andhra-pradesh,2021,4,guntur district,50919286
andhra-pradesh,2021,4,krishna district,55489829
andhra-pradesh,2022,1,east godavari district,54738830
andhra-pradesh,2022,1,srikakulam district,20990782
andhra-pradesh,2022,1,spsr nellore district,47645702
andhra-pradesh,2022,1,vizianagaram district,19278262
andhra-pradesh,2022,1,visakhapatnam district,88233362
andhra-pradesh,2022,1,prakasam district,31340975
andhra-pradesh,2022,1,anantapur district,40613148
andhra-pradesh,2022,1,ysr district,29783739
andhra-pradesh,2022,1,west godavari district,37271259
andhra-pradesh,2022,1,kurnool district,35093633
andhra-pradesh,2022,1,chittoor district,58561024
andhra-pradesh,2022,1,guntur district,57226996
andhra-pradesh,2022,1,krishna district,61826199
andhra-pradesh,2022,2,east godavari district,62072845
andhra-pradesh,2022,2,srikakulam district,23727353
andhra-pradesh,2022,2,spsr nellore district,54838708
andhra-pradesh,2022,2,vizianagaram district,21766135
andhra-pradesh,2022,2,visakhapatnam district,101387402
andhra-pradesh,2022,2,prakasam district,36163507
andhra-pradesh,2022,2,anantapur district,46099366
andhra-pradesh,2022,2,ysr district,33154559
andhra-pradesh,2022,2,west godavari district,44409239
andhra-pradesh,2022,2,kurnool district,40165692
andhra-pradesh,2022,2,chittoor district,67507661
andhra-pradesh,2022,2,guntur district,66315749
andhra-pradesh,2022,2,krishna district,73525814
andhra-pradesh,2022,3,east godavari district,61467134
andhra-pradesh,2022,3,srikakulam district,22126541
andhra-pradesh,2022,3,spsr nellore district,42116582
andhra-pradesh,2022,3,vizianagaram district,20440645
andhra-pradesh,2022,3,visakhapatnam district,97434546
andhra-pradesh,2022,3,prakasam district,35376080
andhra-pradesh,2022,3,anantapur district,45165363
andhra-pradesh,2022,3,ysr district,33119038
andhra-pradesh,2022,3,west godavari district,43635951
andhra-pradesh,2022,3,kurnool district,39557913
andhra-pradesh,2022,3,chittoor district,65751781
andhra-pradesh,2022,3,guntur district,65612317
andhra-pradesh,2022,3,krishna district,71051144
andhra-pradesh,2022,4,east godavari district,68016055
andhra-pradesh,2022,4,srikakulam district,23693779
andhra-pradesh,2022,4,spsr nellore district,42582064
andhra-pradesh,2022,4,vizianagaram district,22205190
andhra-pradesh,2022,4,visakhapatnam district,103790055
andhra-pradesh,2022,4,prakasam district,37211077
